Date,Temperature (C),Precipitation (mm)
2015-01-31,20.837741935483876,0.06999999999999999
2015-02-28,19.554285714285708,0.14357142857142854
2015-03-31,23.19290322580646,0.06000000000000001
2015-04-30,25.238333333333333,0.152
2015-05-31,25.66290322580645,0.12645161290322576
2015-06-30,27.389666666666667,0.09733333333333333
2015-07-31,28.001290322580648,0.12870967741935482
2015-08-31,28.149354838709673,0.26354838709677425
2015-09-30,27.75566666666667,0.26366666666666666
2015-10-31,26.245806451612903,0.0635483870967742
2015-11-30,25.26633333333333,0.09866666666666664
2015-12-31,24.35322580645162,0.19774193548387095
2016-01-31,19.76322580645161,0.20903225806451614
2016-02-29,19.59551724137931,0.0520689655172414
2016-03-31,22.814193548387102,0.1629032258064516
2016-04-30,23.659,0.04900000000000001
2016-05-31,25.502580645161295,0.15967741935483873
2016-06-30,27.59433333333334,0.2943333333333332
2016-07-31,28.704193548387096,0.1854838709677419
2016-08-31,28.30838709677419,0.35612903225806447
2016-09-30,27.68166666666667,0.35766666666666674
2016-10-31,26.25774193548387,0.22709677419354837
2016-11-30,23.35566666666666,0.03133333333333334
2016-12-31,23.552903225806457,0.0764516129032258
2017-01-31,21.35290322580645,0.05870967741935485
2017-02-28,22.090714285714284,0.043928571428571435
2017-03-31,21.795806451612904,0.032903225806451615
2017-04-30,23.98633333333334,0.1
2017-05-31,26.084516129032266,0.09354838709677421
2017-06-30,27.20233333333334,0.4103333333333333
2017-07-31,28.490322580645163,0.23354838709677422
2017-08-31,28.578709677419354,0.2596774193548388
2017-09-30,28.12033333333333,0.38499999999999995
2017-10-31,26.079354838709687,0.2903225806451613
2017-11-30,24.176666666666662,0.084
2017-12-31,21.392903225806453,0.034838709677419366
